"Date","Shift","Name","Amount","Training","Sick","day_of_week","tip_month","avg_tip_shift","avg_tip_day","avg_tip_day_shift","avg_tip_month","avg_tip_month_shift"
"2022-01-02","lunch","employee B",61.66,False,False,"Sunday   ","January  ",78.38292561983471,63.98712903225807,74.2603680981595,64.64142857142858,78.853125
"2022-01-02","lunch","employee Q",86.32,False,False,"Sunday   ","January  ",78.38292561983471,63.98712903225807,74.2603680981595,64.64142857142858,78.853125
"2022-01-02","dinner","employee C",87.73,False,False,"Sunday   ","January  ",57.935802348336594,63.98712903225807,52.59571428571429,64.64142857142858,55.89576923076923
"2022-01-02","dinner","employee Q",98.69,False,False,"Sunday   ","January  ",57.935802348336594,63.98712903225807,52.59571428571429,64.64142857142858,55.89576923076923
"2022-01-03","lunch","employee Q",152.05,False,False,"Monday   ","January  ",78.38292561983471,74.33585858585859,96.26661016949153,64.64142857142858,78.853125
"2022-01-03","dinner","employee E",52.76,False,False,"Monday   ","January  ",57.935802348336594,74.33585858585859,65.02712230215828,64.64142857142858,55.89576923076923
"2022-01-03","dinner","employee Q",79.13,False,False,"Monday   ","January  ",57.935802348336594,74.33585858585859,65.02712230215828,64.64142857142858,55.89576923076923
"2022-01-03","dinner","employee B",79.13,False,False,"Monday   ","January  ",57.935802348336594,74.33585858585859,65.02712230215828,64.64142857142858,55.89576923076923
"2022-01-04","lunch","employee J",93.68,False,False,"Tuesday  ","January  ",78.38292561983471,61.29239583333333,84.52078431372549,64.64142857142858,78.853125
"2022-01-04","dinner","employee J",27.89,False,False,"Tuesday  ","January  ",57.935802348336594,61.29239583333333,52.89063829787234,64.64142857142858,55.89576923076923
"2022-01-04","dinner","employee C",18.6,False,False,"Tuesday  ","January  ",57.935802348336594,61.29239583333333,52.89063829787234,64.64142857142858,55.89576923076923
"2022-01-05","lunch","employee Q",91.49,False,False,"Wednesday","January  ",78.38292561983471,59.93805128205128,72.47578947368422,64.64142857142858,78.853125
"2022-01-05","lunch","employee J",117.72,False,False,"Wednesday","January  ",78.38292561983471,59.93805128205128,72.47578947368422,64.64142857142858,78.853125
"2022-01-05","lunch","employee C",10.17,False,False,"Wednesday","January  ",78.38292561983471,59.93805128205128,72.47578947368422,64.64142857142858,78.853125
"2022-01-05","dinner","employee C",47.38,False,False,"Wednesday","January  ",57.935802348336594,59.93805128205128,54.75942028985507,64.64142857142858,55.89576923076923
"2022-01-05","dinner","employee J",53.3,False,False,"Wednesday","January  ",57.935802348336594,59.93805128205128,54.75942028985507,64.64142857142858,55.89576923076923
"2022-01-06","dinner","employee E",64.7,False,False,"Thursday ","January  ",57.935802348336594,59.89173267326733,53.54824324324324,64.64142857142858,55.89576923076923
"2022-01-06","dinner","employee J",64.7,False,False,"Thursday ","January  ",57.935802348336594,59.89173267326733,53.54824324324324,64.64142857142858,55.89576923076923
"2022-01-07","lunch","employee Q",91.66,False,False,"Friday   ","January  ",78.38292561983471,69.39451754385965,70.7416,64.64142857142858,78.853125
"2022-01-07","dinner","employee C",100.47,False,False,"Friday   ","January  ",57.935802348336594,69.39451754385965,68.73418300653594,64.64142857142858,55.89576923076923
"2022-01-07","dinner","employee J",100.47,False,False,"Friday   ","January  ",57.935802348336594,69.39451754385965,68.73418300653594,64.64142857142858,55.89576923076923
"2022-01-07","dinner","employee B",100.47,False,False,"Friday   ","January  ",57.935802348336594,69.39451754385965,68.73418300653594,64.64142857142858,55.89576923076923
"2022-01-08","lunch","employee B",101.2,False,False,"Saturday ","January  ",78.38292561983471,68.54771523178808,80.25486301369862,64.64142857142858,78.853125
"2022-01-08","lunch","employee Q",141.65,False,False,"Saturday ","January  ",78.38292561983471,68.54771523178808,80.25486301369862,64.64142857142858,78.853125
"2022-01-08","dinner","employee E",80.09,False,False,"Saturday ","January  ",57.935802348336594,68.54771523178808,57.59102564102564,64.64142857142858,55.89576923076923
"2022-01-08","dinner","employee Q",80.09,False,False,"Saturday ","January  ",57.935802348336594,68.54771523178808,57.59102564102564,64.64142857142858,55.89576923076923
